PMS,Process Name,Sub Process Name,Target
Iclaim,Payment Posting,EOBPosting,400
Iclaim,Payment Posting,ERA Posting,850
Iclaim,Payment Posting,ERA Posting,850
Iclaim,Payment Posting,Emails,850
Iclaim,Payment Posting,Idam_PatientCall,850
Iclaim,Payment Posting,MCC _EOM REPORT,64
Iclaim,Payment Posting,"MISC-Email's, Idam_Patient_Call , Collection_Report",64
Iclaim,Payment Posting,PATIENTAGING,64
Iclaim,Payment Posting,PRECOLLECTION,64
Iclaim,Payment Posting,PUC_ADDRESSCHANGE,64
Iclaim,Payment Posting,Portaldownload_Tally,850
Iclaim,Payment Posting,RETURN_TO_SENDER & UNDELIVERD_STMT_WORK,64
Iclaim,Quality Team Production,Process Audit_Denial & Aging,55
Iclaim,Quality Team Production,Process Audit_Payment Posting,650
Iclaim,Quality Team Production,Process Audit_SB,120
Iclaim,Quality Team Production,Transcation Audit_Aging/Denial Management,55
Iclaim,Quality Team Production,Transcation Audit_Payment Posting,650
Iclaim,Quality Team Production,Transcation Audit_SB,120
Iclaim,SB,Audit - Charge Entry,120
Iclaim,SB,CALL PT,120
Iclaim,SB,Call PT,120
Iclaim,SB,Charge Entry,120
Iclaim,SB,Claim submission(Billing),120
Iclaim,SB,Copay Batch,120
Iclaim,SB,Demo Entry (Including EV),120
Iclaim,SB,Download,120
Iclaim,SB,HCFA - To print,120
Iclaim,SB,KI Extract,120
Iclaim,SB,No show,120
Iclaim,SB,Pending List,120
Iclaim,SB,Prescrub,120
Iclaim,SB,Rejections,120
Iclaim,SB,SWID Master Excel Update,120
MD LAND,AR Calling,AR calling,20
MD LAND,Extraction,Extraction,150
MD LAND,Extraction,Mail,150
MD LAND,Payment Posting,MDLand_Audit,850
MD LAND,Payment Posting,MDLand_EOBPosting,400
MD LAND,SB,Charge Entry,120
MD LAND,SB,Demo Entry (Including EV),120
Medinfomatrix,AR Calling,AR calling,20
Medinfomatrix,Denial Management,Denial,40
Medinfomatrix,Payment Posting,Medinfomatrix(SCMI)_EOBPosting,400
Medinfomatrix,Payment Posting,Medinfomatrix(SCMI)_ERA posting,400
Medinfomatrix,Quality Team Production,Transcation Audit_Aging/Denial Management,42
Medinfomatrix,Quality Team Production,Transcation Audit_Payment Posting,650
iclaim,Iclaim EOB,EOB Posting,400
iclaim,Iclaim EOB,ERA Posting,850
